ticker,positive returns
MDT,71
MDU,67
MDXG,69
MED,66
MEDS,47
MEI,71
MEIP,57
MELI,67
MEOH,67
MERC,58
MET,68
MFA,73
MFC,69
MFG,53
MFIN,61
MFNC,69
MG,56
MGA,73
MGEE,75
MGI,53
MGIC,63
MGLN,61
MGM,62
MGPI,70
MGRC,72
MGYR,68
MHH,53
MHK,77
MHLD,60
MHO,70
MIC,73
MICT,47
MIDD,74
MIND,56
MITK,62
MKC,72
MKL,73
MKSI,71
MKTX,77
MKTY,60
MLAB,71
MLCO,66
MLHR,67
MLI,65
MLM,68
MLP,64
MLR,64
MLSS,58
MLVF,67
MMAC,62
MMC,81
MMLP,55
MMM,76
MMP,66
MMS,66
MMSI,65
MMYT,57
MNDO,58
MNKD,60
MNOV,57
MNR,70
MNRO,67
MNST,67
MNTX,60
MO,71
MOD,60
MODV,65
MOFG,71
MOG-A,67
MOH,67
MORN,72
MOS,68
MOSY,50
MOV,59
MPAA,63
MPB,60
MPW,75
MPWR,76
MPX,69
MRCY,68
MRK,72
MRLN,67
MRO,62
MRTN,64
MRVL,65
MS,72
MSA,75
MSB,56
MSCI,77
MSEX,76
MSFT,81
MSGN,64
MSI,70
MSM,67
MSN,46
MSON,58
MSTR,62
MT,56
MTB,72
MTD,73
MTEM,60
MTEX,54
MTG,71
MTH,65
MTN,71
MTOR,62
MTR,53
MTRN,61
MTRX,69
MTSL,58
MTW,63
MTX,68
MTZ,67
MU,66
MUFG,62
MUR,60
MUX,48
MVBF,56
MVIS,51
MVO,63
MWA,66
MXC,61
MXIM,67
MXL,66
MYE,68
MYGN,59
MYRG,66
NAII,56
NAK,49
NAKD,30
NAT,61
NATH,71
NATI,67
NATR,59
NAV,59
NAVB,49
NBIX,66
NBN,61
NBR,58
NBSE,59
NBTB,70
NBY,47
NC,61
NCMI,64
NCR,59
NCTY,47
NDAQ,79
NDSN,72
NEE,81
NEM,59
NEN,71
NEO,68
NEOG,72
NEON,54
NEPH,28
NEPT,51
NES,37
NETE,46
NEU,69
NEWT,76
NFBK,73
NFG,60
NFLX,76
NG,54
NGD,53
NGG,68
NGS,54
NHC,69
NHI,74
NHTC,58
NI,77
NICE,65
NICK,59
NJR,62
NKE,71
NKSH,59
NKTR,58
NL,51
NLOK,62
NLS,64
NLSN,59
NLY,74
NM,56
NMM,59
NMR,56
NNBR,67
NNI,66
NNN,69
NNVC,49
NOA,55
NOAH,60
NOC,80
NOG,49
NOK,61
NOTV,62
NOV,55
NP,69
NPK,64
NPO,64
NPTN,62
NR,64
NRG,66
NRIM,63
NRP,49
NRT,56
NS,62
NSC,69
NSEC,55
NSIT,65
NSP,70
NSSC,70
NSYS,50
NTAP,68
NTCT,58
NTES,73
NTGR,65
NTIC,56
NTP,62
NTRS,74
NTUS,62
NTWK,48
NTZ,46
NUAN,62
NUE,61
NURO,34
NUS,67
NUVA,68
NVAX,58
NVCN,52
NVDA,76
NVEC,63
NVGS,63
NVIV,55
NVMI,73
NVO,67
NVR,74
NVS,75
NWBI,73
NWE,74
NWFL,64
NWG,60
NWL,65
NWLI,64
NWN,69
NWPX,56
NX,66
NXGN,62
NXPI,72
NXST,76
NYCB,64
NYMT,74
NYMX,49
NYT,60
O,73
OBAS,57
OBCI,61
OBLG,48
OC,70
OCC,50
OCFC,69
OCN,63
OCSL,65
OCUP,48
ODC,58
ODFL,73
ODP,59
OEG,52
OESX,55
OFC,67
OFED,67
OFG,65
OFIX,62
OFLX,69
OGE,65
OGEN,44
OHI,69
OI,60
OII,60
OIIM,54
OIS,58
OKE,67
OLB,24
OLED,64
OLN,59
OLP,72
OMAB,71
OMC,67
OMCL,72
OMER,51
OMEX,50
OMI,66
ON,68
ONB,69
ONCT,55
ONTO,64
ONTX,38
OPBK,57
OPCH,67
