symbol,name,sector,industry
CASY,Casey's General Stores Inc.,CYCLICALS,RETAILOTHER
CATO,Cato Corp (The),CYCLICALS,APPARELRETAIL
CENTA,Central Garden & Pet Co,CYCLICALS,LEISURE
CHCI,Comstock Holding Cos Inc,CYCLICALS,HOMEBUILDMANUF
CHS,Chico's FAS Inc.,CYCLICALS,APPARELRETAIL
CLAR,Clarus Corp,CYCLICALS,LEISURE
COLM,Columbia Sportswear Co,CYCLICALS,APPARELPRODUCTS
CONN,Conn's Inc,CYCLICALS,ELECTRONICSENTRETAIL
CPRT,Copart Inc,CYCLICALS,AUTORETAIL
CPS,Cooper-Standard Holdings Inc,CYCLICALS,VEHICLE
CRI,Carter's Inc.,CYCLICALS,APPARELPRODUCTS
CRMT,America's Car-Mart Inc,CYCLICALS,AUTORETAIL
CROX,Crocs Inc,CYCLICALS,APPARELPRODUCTS
CTB,Cooper Tire & Rubber Co,CYCLICALS,VEHICLE
CTHR,Charles & Colvard Ltd,CYCLICALS,APPARELPRODUCTS
CTIB,Yunhong CTI Ltd,CYCLICALS,LEISURE
CTS,CTS Corp,CYCLICALS,VEHICLE
CVCO,Cavco Industries Inc,CYCLICALS,HOMEBUILDMANUF
DAN,Dana Inc,CYCLICALS,VEHICLE
DBI,Designer Brands Inc,CYCLICALS,APPARELRETAIL
DECK,Deckers Outdoor Corp,CYCLICALS,APPARELPRODUCTS
DHI,D.R. Horton Inc.,CYCLICALS,HOMEBUILDMANUF
DKS,Dick's Sporting Goods Inc.,CYCLICALS,ELECTRONICSENTRETAIL
DLA,Delta Apparel Inc,CYCLICALS,APPARELPRODUCTS
DORM,Dorman Products Inc,CYCLICALS,AUTORETAIL
ELY,Callaway Golf Co,CYCLICALS,LEISURE
ESCA,Escalade Inc,CYCLICALS,LEISURE
ETH,Ethan Allen Interiors Inc,CYCLICALS,APPLIANCESFURN
EVK,Ever-Glory International Group Inc,CYCLICALS,APPARELPRODUCTS
EXPR,Express Inc,CYCLICALS,APPARELRETAIL
F,Ford Motor Co,CYCLICALS,VEHICLE
FL,Foot Locker Inc.,CYCLICALS,APPARELRETAIL
FLXS,Flexsteel Industries Inc,CYCLICALS,APPLIANCESFURN
FOSL,Fossil Group Inc,CYCLICALS,APPARELPRODUCTS
GCO,Genesco Inc.,CYCLICALS,APPARELRETAIL
GES,Guess ? Inc.,CYCLICALS,APPARELPRODUCTS
GFF,Griffon Corp.,CYCLICALS,LEISURE
GIII,G III Apparel Group Ltd,CYCLICALS,APPARELPRODUCTS
GIL,Gildan Activewear Inc,CYCLICALS,APPARELPRODUCTS
GM,General Motors Co,CYCLICALS,VEHICLE
GME,GameStop Corp.,CYCLICALS,ELECTRONICSENTRETAIL
GNTX,Gentex Corporation,CYCLICALS,VEHICLE
GPC,Genuine Parts Co,CYCLICALS,AUTORETAIL
GPI,Group 1 Automotive Inc.,CYCLICALS,AUTORETAIL
GPS,Gap Inc,CYCLICALS,APPARELRETAIL
GRBK,Green Brick Partners Inc,CYCLICALS,HOMEBUILDMANUF
GT,Goodyear Tire & Rubber Co,CYCLICALS,VEHICLE
HAS,Hasbro Inc.,CYCLICALS,LEISURE
HBI,Hanesbrands Inc,CYCLICALS,APPARELPRODUCTS
HD,Home Depot Inc. (The),CYCLICALS,HOMEIMPROVE
HIBB,Hibbett Sports Inc,CYCLICALS,ELECTRONICSENTRETAIL
HMC,Honda Motor Co Ltd,CYCLICALS,VEHICLE
HOFT,Hooker Furniture Corp,CYCLICALS,APPLIANCESFURN
HOG,Harley-Davidson Inc.,CYCLICALS,VEHICLE
HOV,Hovnanian Enterprises Inc.,CYCLICALS,HOMEBUILDMANUF
HVT,Haverty Furniture Cos Inc,CYCLICALS,HOMEIMPROVE
HZO,MarineMax Inc,CYCLICALS,AUTORETAIL
ICON,Iconix Brand Group Inc,CYCLICALS,APPARELPRODUCTS
IMBI,iMedia Brands Inc,CYCLICALS,APPARELRETAIL
JAKK,JAKKS Pacific Inc,CYCLICALS,LEISURE
JOUT,Johnson Outdoors Inc,CYCLICALS,LEISURE
KAR,KAR Auction Services Inc,CYCLICALS,AUTORETAIL
KBH,KB Home,CYCLICALS,HOMEBUILDMANUF
KIRK,Kirkland's Inc,CYCLICALS,HOMEIMPROVE
KMX,CarMax Inc,CYCLICALS,AUTORETAIL
KSPN,Kaspien Holdings Inc,CYCLICALS,ELECTRONICSENTRETAIL
LAD,Lithia Motors Inc.,CYCLICALS,AUTORETAIL
LAKE,Lakeland Industries Inc,CYCLICALS,APPARELPRODUCTS
LB,L Brands Inc,CYCLICALS,APPARELRETAIL
LCII,LCI Industries,CYCLICALS,VEHICLE
LEA,Lear Corp,CYCLICALS,VEHICLE
LEAF,Leaf Group Ltd,CYCLICALS,HOMEIMPROVE
LEN,Lennar Corp,CYCLICALS,HOMEBUILDMANUF
LKQ,LKQ Corp,CYCLICALS,AUTORETAIL
LL,Lumber Liquidators Holdings Inc,CYCLICALS,HOMEIMPROVE
LOW,Lowe's Cos Inc,CYCLICALS,HOMEIMPROVE
LQDT,Liquidity Services Inc,CYCLICALS,RETAILOTHER
LULU,lululemon athletica inc,CYCLICALS,APPARELRETAIL
LZB,La-Z-Boy Inc,CYCLICALS,APPLIANCESFURN
MAT,Mattel Inc.,CYCLICALS,LEISURE
MDC,M.D.C. Holdings Inc.,CYCLICALS,HOMEBUILDMANUF
MEI,Methode Electronics Inc,CYCLICALS,VEHICLE
MGA,Magna International Inc,CYCLICALS,VEHICLE
MHO,M/I Homes Inc,CYCLICALS,HOMEBUILDMANUF
